wbcode,country,year,epl,cdp,cop,nurr,gb,dsj
AUS,Australia,1995,1,2.6,1,32,30,1
AUT,Austria,1995,2.6,3.3,3,43,78,3
BEL,Belgium,1995,1.5,4.1,2,57,99,2
CAN,Canada,1995,0.9,3.4,1,32,49,2
DNK,Denmark,1995,1.6,3.1,2,60,76,3
FIN,Finland,1995,2.4,0.24,2,45,20,2
FRA,France,1995,2.3,2.1,2,48,44,2
DEU,Germany,1995,2.8,3.1,3,43,66,3
IRL,Ireland,1995,1.6,2.1,1,38,59,1
ITA,Italy,1995,2.8,4.1,2,5,18,2
JPN,Japan,1995,2.7,1.5,3,10,48,2
NLD,Netherlands,1995,3.1,2.8,2,58,74,3
NZL,New Zealand,1995,1.7,0.4,1,31,44,1
NOR,Norway,1995,2.4,2.8,2,40,40,3
SWE,Sweden,1995,2.8,4.5,3,30,52,3
CHE,Switzerland,1995,1.2,3.9,2,40,94,2
GBR,United Kingdom,1995,0.8,2.9,1,23,15,1
USA,United States,1995,0.2,2.9,1,14,26,1
